Lot #,Specimen Number,Sex,SL,LL,TV,CPD,Miller's Data,State,County,Drainage,Group
CU 24632,10,m,44.5,78,20,24,y,TN,Blount,Little R.,Lwr_Pigeon-LittleRiver
USNM 190864,3,m,62.5,68,18,25,y,TN,Blount,Little R.,Lwr_Pigeon-LittleRiver
CU 24632,2,m,66.5,73,18,25,y,TN,Blount,Little R.,Lwr_Pigeon-LittleRiver
CU 41384,1,m,31,75,18,25,y,TN,Blount,Little R.,Lwr_Pigeon-LittleRiver
UMMZ 131501,9,j,24,65,19,25,y,TN,Cocke,Lwr Pigeon,Lwr_Pigeon-LittleRiver
CU 37688,1,m,46.5,68,19,25,y,TN,Sevier,Little Pigeon,Lwr_Pigeon-LittleRiver
UMMZ 131501,1,m,79,68,19,25,y,TN,Cocke,Lwr Pigeon,Lwr_Pigeon-LittleRiver
CU 24632,7,m,49.5,72,19,25,y,TN,Blount,Little R.,Lwr_Pigeon-LittleRiver
UMMZ 131501,3,f,72,72,19,25,y,TN,Cocke,Lwr Pigeon,Lwr_Pigeon-LittleRiver
CU 23457,7,m,39,71,18,26,y,TN,Sevier,Little Pigeon,Lwr_Pigeon-LittleRiver
VPI 1543,2,f,86.5,71,18,26,y,TN,Sevier,Little Pigeon,Lwr_Pigeon-LittleRiver
VPI 1772,2,m,71,71,18,26,y,TN,Sevier,Little Pigeon,Lwr_Pigeon-LittleRiver
CU 23457,6,m,48,73,18,26,y,TN,Sevier,Little Pigeon,Lwr_Pigeon-LittleRiver
CU 24632,5,f,61.5,76,18,26,y,TN,Blount,Little R.,Lwr_Pigeon-LittleRiver
CU 41337,2,m,35,64,19,26,y,TN,Sevier,Little Pigeon,Lwr_Pigeon-LittleRiver
CU 41882,3,f,66,67,19,26,y,TN,Sevier,Little Pigeon,Lwr_Pigeon-LittleRiver
CU 24632,6,m,50,69,19,26,y,TN,Blount,Little R.,Lwr_Pigeon-LittleRiver
CU 41882,1,m,71.5,69,19,26,y,TN,Sevier,Little Pigeon,Lwr_Pigeon-LittleRiver
CU 24632,1,m,67.5,71,19,26,y,TN,Blount,Little R.,Lwr_Pigeon-LittleRiver
CU 40114,3,m,62,71,19,26,y,TN,Sevier,Little Pigeon,Lwr_Pigeon-LittleRiver
CU 41384,3,m,60,71,19,26,y,TN,Blount,Little R.,Lwr_Pigeon-LittleRiver
CU 41420,1,m,33,72,19,26,y,TN,Sevier,Little Pigeon,Lwr_Pigeon-LittleRiver
USNM 190864,9,f,45.5,72,19,26,y,TN,Blount,Little R.,Lwr_Pigeon-LittleRiver
CU 24632,9,m,47,73,19,26,y,TN,Blount,Little R.,Lwr_Pigeon-LittleRiver
CU 41337,1,m,82,73,19,26,y,TN,Sevier,Little Pigeon,Lwr_Pigeon-LittleRiver
USNM 190864,5,f,61,74,19,26,y,TN,Blount,Little R.,Lwr_Pigeon-LittleRiver
USNM 190864,11,f,41.5,74,19,26,y,TN,Blount,Little R.,Lwr_Pigeon-LittleRiver
CU 41384,2,m,41.5,75,19,26,y,TN,Blount,Little R.,Lwr_Pigeon-LittleRiver
CU 41384,5,m,68,76,19,26,y,TN,Blount,Little R.,Lwr_Pigeon-LittleRiver
UMMZ 131501,8,j,26,81,19,26,y,TN,Cocke,Lwr Pigeon,Lwr_Pigeon-LittleRiver
CU 24632,11,m,46.5,63,20,26,y,TN,Blount,Little R.,Lwr_Pigeon-LittleRiver
CU 24632,12,m,42,68,20,26,y,TN,Blount,Little R.,Lwr_Pigeon-LittleRiver
CU 41882,2,f,64,71,20,26,y,TN,Sevier,Little Pigeon,Lwr_Pigeon-LittleRiver
CU 41420,2,f,74,72,20,26,y,TN,Sevier,Little Pigeon,Lwr_Pigeon-LittleRiver
UMMZ 131501,5,f,57,72,20,26,y,TN,Cocke,Lwr Pigeon,Lwr_Pigeon-LittleRiver
CU 37688,2,f,70,73,20,26,y,TN,Sevier,Little Pigeon,Lwr_Pigeon-LittleRiver
CU 41337,5,m,44.5,73,20,26,y,TN,Sevier,Little Pigeon,Lwr_Pigeon-LittleRiver
CU 40114,4,m,56.5,75,20,26,y,TN,Sevier,Little Pigeon,Lwr_Pigeon-LittleRiver
USNM 190864,10,m,40,75,20,26,y,TN,Blount,Little R.,Lwr_Pigeon-LittleRiver
CU 40114,1,m,84,66,21,26,y,TN,Sevier,Little Pigeon,Lwr_Pigeon-LittleRiver
UMMZ 131501,2,m,75,68,21,26,y,TN,Cocke,Lwr Pigeon,Lwr_Pigeon-LittleRiver
CU 41384,6,m,71.5,74,21,26,y,TN,Blount,Little R.,Lwr_Pigeon-LittleRiver
VPI 1543,1,f,63.5,65,19,27,y,TN,Sevier,Little Pigeon,Lwr_Pigeon-LittleRiver
VPI 1772,1,f,65.5,65,19,27,y,TN,Sevier,Little Pigeon,Lwr_Pigeon-LittleRiver
UMMZ 129304,1,m,62,66,19,27,y,TN,Sevier,Little Pigeon,Lwr_Pigeon-LittleRiver
CU 41384,7,f,85.5,69,19,27,y,TN,Blount,Little R.,Lwr_Pigeon-LittleRiver
CU 41384,8,m,92.5,70,19,27,y,TN,Blount,Little R.,Lwr_Pigeon-LittleRiver
CU 23457,1,m,77.5,71,19,27,y,TN,Sevier,Little Pigeon,Lwr_Pigeon-LittleRiver
CU 23457,2,f,70,71,19,27,y,TN,Sevier,Little Pigeon,Lwr_Pigeon-LittleRiver
CU 40114,2,m,92.5,71,19,27,y,TN,Sevier,Little Pigeon,Lwr_Pigeon-LittleRiver
CU 41337,3,m,38.5,71,19,27,y,TN,Sevier,Little Pigeon,Lwr_Pigeon-LittleRiver
CU 41337,6,m,45,71,19,27,y,TN,Sevier,Little Pigeon,Lwr_Pigeon-LittleRiver
UMMZ 131501,4,f,64,73,19,27,y,TN,Cocke,Lwr Pigeon,Lwr_Pigeon-LittleRiver
CU 41384,4,m,65.5,75,19,27,y,TN,Blount,Little R.,Lwr_Pigeon-LittleRiver
USNM 190864,8,m,45,76,19,27,y,TN,Blount,Little R.,Lwr_Pigeon-LittleRiver
CU 23457,3,f,67,66,20,27,y,TN,Sevier,Little Pigeon,Lwr_Pigeon-LittleRiver
CU 40114,6,m,55,67,20,27,y,TN,Sevier,Little Pigeon,Lwr_Pigeon-LittleRiver
CU 41337,4,m,43,68,20,27,y,TN,Sevier,Little Pigeon,Lwr_Pigeon-LittleRiver
CU 24632,4,f,66.5,70,20,27,y,TN,Blount,Little R.,Lwr_Pigeon-LittleRiver
CU 24632,8,m,46,70,20,27,y,TN,Blount,Little R.,Lwr_Pigeon-LittleRiver
USNM 190864,2,f,58,73,20,27,y,TN,Blount,Little R.,Lwr_Pigeon-LittleRiver
USNM 190864,6,f,58.5,73,20,27,y,TN,Blount,Little R.,Lwr_Pigeon-LittleRiver
VPI 1635,2,f,57,74,20,27,y,TN,Sevier,Little Pigeon,Lwr_Pigeon-LittleRiver
USNM 190864,4,m,62,75,20,27,y,TN,Blount,Little R.,Lwr_Pigeon-LittleRiver
UMMZ 131501,6,f,60,71,21,27,y,TN,Cocke,Lwr Pigeon,Lwr_Pigeon-LittleRiver
USNM 190864,1,m,62,72,21,27,y,TN,Blount,Little R.,Lwr_Pigeon-LittleRiver
CU 23457,5,m,48,69,18,28,y,TN,Sevier,Little Pigeon,Lwr_Pigeon-LittleRiver
CU 24632,3,m,70,69,20,28,y,TN,Blount,Little R.,Lwr_Pigeon-LittleRiver
UMMZ 131501,7,f,58.5,75,20,28,y,TN,Cocke,Lwr Pigeon,Lwr_Pigeon-LittleRiver
CU 40114,5,m,54,71,21,28,y,TN,Sevier,Little Pigeon,Lwr_Pigeon-LittleRiver
